run_name,timestamp,input_file,original_input_name,model_name,device,segment,shifts,mp3,output_dir,stems_dir,elapsed_seconds,evaluation_status,reference_dir,evaluation_mapping,evaluation_json,evaluated_stems,mean_si_sdr_db,median_si_sdr_db,mean_sdr_db,median_sdr_db,mean_si_sdri_db,median_si_sdri_db
run_20260314_141347_baseline_test_01,2026-03-14T14:18:37.056194,samples\test.wav,test.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260314_141347_baseline_test_01,outputs\htdemucs\run_20260314_141347_baseline_test_01\stems,289.8964,,,,,,,,,,,
run_20260314_143035_bodies_of_blue,2026-03-14T14:34:04.824722,samples\bodies_of_blue.wav,bodies_of_blue.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260314_143035_bodies_of_blue,outputs\htdemucs\run_20260314_143035_bodies_of_blue\stems,209.4972,,,,,,,,,,,
run_20260315_115709_hozier,2026-03-15T11:59:52.733903,samples\blood_upon_the_snow.wav,blood_upon_the_snow.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260315_115709_hozier,outputs\htdemucs\run_20260315_115709_hozier\stems,162.8289,,,,,,,,,,,
run_20260315_120853_luxtorpeda,2026-03-15T12:11:17.117244,samples\luxtorpeda.wav,luxtorpeda.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260315_120853_luxtorpeda,outputs\htdemucs\run_20260315_120853_luxtorpeda\stems,143.2477,,,,,,,,,,,
run_20260315_122035_luxtorpeda,2026-03-15T12:25:18.736194,samples\luxtorpeda.wav,luxtorpeda.wav,htdemucs_6s,cpu,,1,False,outputs\htdemucs_6s\run_20260315_122035_luxtorpeda,outputs\htdemucs_6s\run_20260315_122035_luxtorpeda\stems,283.2301,,,,,,,,,,,
run_20260315_122950_luxtorpeda,2026-03-15T12:45:07.573333,samples\luxtorpeda.wav,luxtorpeda.wav,htdemucs_ft,cpu,,1,False,outputs\htdemucs_ft\run_20260315_122950_luxtorpeda,outputs\htdemucs_ft\run_20260315_122950_luxtorpeda\stems,917.0921,,,,,,,,,,,
run_20260315_124753_luxtorpeda_2Shifts,2026-03-15T12:53:50.026376,samples\luxtorpeda.wav,luxtorpeda.wav,htdemucs_6s,cpu,,2,False,outputs\htdemucs_6s\run_20260315_124753_luxtorpeda_2Shifts,outputs\htdemucs_6s\run_20260315_124753_luxtorpeda_2Shifts\stems,356.9575,,,,,,,,,,,
run_20260315_125649_luxtorpeda_4Shifts,2026-03-15T13:06:03.689411,samples\luxtorpeda.wav,luxtorpeda.wav,htdemucs_6s,cpu,,4,False,outputs\htdemucs_6s\run_20260315_125649_luxtorpeda_4Shifts,outputs\htdemucs_6s\run_20260315_125649_luxtorpeda_4Shifts\stems,553.8432,,,,,,,,,,,
run_20260315_132123_hozier_2Shifts,2026-03-15T14:09:32.907505,samples\blood_upon_the_snow.wav,blood_upon_the_snow.wav,htdemucs_ft,cpu,,2,False,outputs\htdemucs_ft\run_20260315_132123_hozier_2Shifts,outputs\htdemucs_ft\run_20260315_132123_hozier_2Shifts\stems,2889.6591,,,,,,,,,,,
run_20260315_141251_bodies_of_blue_2Shift,2026-03-15T14:18:05.829022,samples\bodies_of_blue.wav,bodies_of_blue.wav,htdemucs_6s,cpu,,2,False,outputs\htdemucs_6s\run_20260315_141251_bodies_of_blue_2Shift,outputs\htdemucs_6s\run_20260315_141251_bodies_of_blue_2Shift\stems,314.4732,,,,,,,,,,,
run_20260315_181637_demo_2Shifts,2026-03-15T18:19:04.521248,samples\test.wav,test.wav,htdemucs_6s,cpu,,2,False,outputs\htdemucs_6s\run_20260315_181637_demo_2Shifts,outputs\htdemucs_6s\run_20260315_181637_demo_2Shifts\stems,147.2748,,,,,,,,,,,
run_20260905_094518_test,2026-09-05T09:48:20.509093,samples\test.wav,test.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260905_094518_test,outputs\htdemucs\run_20260905_094518_test\stems,181.5062,not_requested,,,,,,,,,,
run_20260905_193249_musdb_al_james_htdemucs_s1,2026-09-05T19:35:29.996768,musdb18hq\test\Al James - Schoolboy Facination\mixture.wav,mixture.wav,htdemucs,cpu,,1,False,outputs\htdemucs\run_20260905_193249_musdb_al_james_htdemucs_s1,outputs\htdemucs\run_20260905_193249_musdb_al_james_htdemucs_s1\stems,160.5414,completed,musdb18hq\test\Al James - Schoolboy Facination,identity,experiments\evaluations\run_20260905_193249_musdb_al_james_htdemucs_s1.json,"[""bass"", ""drums"", ""other"", ""vocals""]",5.898563194107675,6.245024417510981,6.996621308608983,7.159739221974217,10.924474031276429,10.527011535915783
run_20260905_193740_musdb_al_james_htdemucs_s1,2026-09-05T19:50:11.280856,musdb18hq\test\Al James - Schoolboy Facination\mixture.wav,mixture.wav,htdemucs_ft,cpu,,1,False,outputs\htdemucs_ft\run_20260905_193740_musdb_al_james_htdemucs_s1,outputs\htdemucs_ft\run_20260905_193740_musdb_al_james_htdemucs_s1\stems,750.6189,completed,musdb18hq\test\Al James - Schoolboy Facination,identity,experiments\evaluations\run_20260905_193740_musdb_al_james_htdemucs_s1.json,"[""bass"", ""drums"", ""other"", ""vocals""]",6.436278257870627,6.728011757095913,7.433044659038929,7.558525135097207,11.46218909503938,11.020023235979652
